sujeto,cond,homo,ch,fluct,Instructions & Info:
Subject1,Stage1,1,F3,F3_C3,1. You have to create a DatsFile like this one for each experimental group you want to analyze. This is an example for an hypoteical experimental group of sleep.
Subject2,Stage2,5,C3,F3_P3,"2. The column ""sujeto"" is to enlist all the subjects you'll analyze. These names must coincide with the folders in DATOS_REF"
Subject3,Stage3,9,P3,F3_T3,"3. The column ""cond"" is to enlist all the conditions you'll consider for the analysis. These names must coincide with names of the folders in MC_time > MyGroup"
Subject4,StageREM,4,T3,F3_Fz,"4. The column ""homo"" is to homologate electrodes or to organize the variables in your data set. If you don't want to re-arrange the order of your variables, just fill the column 1,2,3,É, to the number of variables you have in your data set. ""homo""column and ""ch"" column must have the SAME number of rows."
Subject5,,2,Fz,F3_Cz,"5. The column ""ch"" is to name the variables in your data set. Here you can see as an example that we have named 11 electrodes."
Subject6,,6,Cz,F3_Pz,"6. The ""fluct"" column is to specify the name of the combinations of the variables that will be analized. These are the names of the non-diagonal elements in the correlation matrices ordered vertically: (2,1), (3,1), (4,1), É, (last row, last column -1)"
Subject7,,10,Pz,F3_F4,
Subject8,,3,F4,F3_C4,
Subject9,,7,C4,F3_P4,
Subject10,,11,P4,F3_T4,
Subject11,,8,T4,C3_P3,
Subject12,,,,C3_T3,
Subject13,,,,C3_Fz,
,,,,C3_Cz,
,,,,C3_Pz,
,,,,C3_F4,
,,,,C3_C4,
,,,,C3_P4,
,,,,C3_T4,
,,,,P3_T3,
,,,,P3_Fz,
,,,,P3_Cz,
,,,,P3_Pz,
,,,,P3_F4,
,,,,P3_C4,
,,,,P3_P4,
,,,,P3_T4,
,,,,T3_Fz,
,,,,T3_Cz,
,,,,T3_Pz,
,,,,T3_F4,
,,,,T3_C4,
,,,,T3_P4,
,,,,T3_T4,
,,,,Fz_Cz,
,,,,Fz_Pz,
,,,,Fz_F4,
,,,,Fz_C4,
,,,,Fz_P4,
,,,,Fz_T4,
,,,,Cz_Pz,
,,,,Cz_F4,
,,,,Cz_C4,
,,,,Cz_P4,
,,,,Cz_T4,
,,,,Pz_F4,
,,,,Pz_C4,
,,,,Pz_P4,
,,,,Pz_T4,
,,,,F4_C4,
,,,,F4_P4,
,,,,F4_T4,
,,,,C4_P4,
,,,,C4_T4,
,,,,P4_T4,
